u,v,color
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
1,8,0
1,10,0
1,15,0
2,16,0
2,17,0
2,18,0
2,19,0,5
2,20,0
2,21,0
2,22,0
2,10,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,3,0
2,29,0
2,30,0
2,15,0
2,31,0
2,32,0
2,33,0
3,8,0
3,11,0
3,10,0
3,34,0
3,14,0
3,4,0
3,5,0
3,6,0
3,15,0
4,16,0
4,8,0
4,17,0
4,18,0
4,19,0,5
4,20,0
4,21,0
4,22,0
4,11,0
4,10,0
4,23,0
4,24,0
4,25,0
4,26,0
4,35,0
4,27,0
4,28,0
4,29,0
4,5,0
4,6,0
4,30,0
4,15,0
4,31,0
4,32,0
4,33,0
5,16,0
5,8,0
5,17,0
5,18,0
5,19,0,5
5,20,0
5,21,0
5,22,0
5,11,0
5,10,0
5,23,0
5,24,0
5,25,0
5,26,0
5,36,0
5,35,0
5,27,0
5,37,0
5,28,0
5,29,0
5,6,0
5,30,0
5,15,0
5,31,0
5,32,0
5,33,0
6,16,0
6,8,0
6,17,0
6,18,0
6,19,0,5
6,20,0
6,21,0
6,22,0
6,10,0
6,23,0
6,24,0
6,25,0
6,26,0
6,36,0
6,35,0
6,27,0
6,37,0
6,28,0
6,29,0
6,30,0
6,15,0
6,31,0
6,32,0
6,33,0
7,8,0
7,10,0
7,15,0
8,38,0
8,39,0
8,40,0
8,41,0
8,10,0
8,42,0
8,11,0
8,43,0
8,44,0
8,45,0
8,15,0
8,46,0
8,14,0
9,15,0
10,38,0
10,47,0
10,48,0
10,49,0
10,50,0
10,43,0
10,11,0
10,51,0
10,42,0
10,52,0
10,53,0
10,41,0
10,54,0
10,55,0
10,56,0
10,40,0
10,57,0
10,39,0
10,58,0
10,59,0
10,14,0
10,46,0
10,27,0
10,45,0
10,60,0
10,44,0
10,61,0
10,15,0
11,16,0
11,17,0
11,18,0
11,19,5,0
11,20,0
11,21,0
11,22,0
11,23,0
11,62,0
11,24,0
11,25,0
11,26,0
11,27,0
11,28,0
11,29,0
11,30,0
11,15,0
11,31,0
11,32,0
11,33,0
12,63,0
12,64,0
12,65,0
12,66,0
12,67,0
12,68,0
12,69,0
12,70,0
12,71,0
12,72,0
12,73,0
12,74,0
12,75,0
12,15,0
13,76,5
13,77,5
13,78,5
13,79,4
13,80,5,0
13,63,5,0
13,81,5
13,82,5
13,83,5
13,84,0,5
13,64,0
13,85,0,5
13,86,5,0
13,87,5,0
13,88,5
13,89,5,0
13,90,5,0
13,91,5
13,92,5,0
13,93,0,5
13,94,5
13,95,5
13,65,0
13,66,0,5
13,96,5,0
13,97,0,5
13,98,0,5
13,99,0,5
13,100,5,0
13,101,5
13,102,5,0
13,67,5,0
13,103,0,5
13,104,5,0
13,105,5,0
13,68,0,5
13,69,0
13,106,5
13,107,5
13,108,5
13,109,0
13,70,0,5
13,110,5
13,71,0
13,72,0
13,111,0,5
13,112,5
13,27,5
13,113,5,0
13,114,0,5
13,115,5,0
13,116,5,0
13,117,0,5
13,118,5,0
13,119,0,5
13,120,0,5
13,121,0,5
13,122,5
13,73,0
13,123,5,0
13,124,5
13,125,4
13,74,0,5
13,75,0,5
13,126,5,0
13,15,0
14,38,0
14,127,0
14,47,0
14,48,0
14,128,0
14,129,0
14,49,0
14,130,0
14,131,0
14,21,0,1
14,132,0
14,133,0
14,43,0
14,134,0
14,22,0,1
