u,v,color
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
1,7,0
1,12,0
1,13,0
2,14,0
2,5,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,7,0
2,35,0
2,36,0
2,8,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,9,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,12,0
2,10,0
2,48,0
2,49,0
2,50,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,56,0
2,57,0
2,58,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,0
2,64,0
2,65,0
2,66,0
2,67,0
2,68,0
2,69,0
2,70,0
2,71,0
2,72,0
2,73,0
2,74,0
2,75,0
2,76,0
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,3,0
2,86,0
2,87,0
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,0
2,4,0
2,94,0
2,95,0
2,96,0
2,97,0
2,98,0
2,99,0
2,100,0
2,101,0
2,102,0
2,103,0
2,104,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
3,25,0
3,26,0
3,28,0
3,7,0
3,38,0
3,39,0
3,40,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,12,0
3,48,0
3,50,0
3,51,0
3,52,0
3,53,0
3,54,0
3,55,0
3,56,0
3,57,0
3,58,0
3,61,0
3,62,0
3,63,0
3,64,0
3,65,0
3,66,0
3,67,0
3,69,0
3,70,0
3,71,0
3,72,0
3,74,0
3,75,0
3,77,0
3,78,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,90,0
3,91,0
3,92,0
3,93,0
3,94,0
3,95,0
3,99,0
3,100,0
3,101,0
3,102,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,28,0
4,7,0
4,38,0
4,39,0
4,40,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,12,0
4,48,0
4,50,0
4,51,0
4,52,0
4,53,0
4,54,0
4,55,0
4,56,0
4,57,0
4,58,0
4,61,0
4,62,0
4,63,0
4,64,0
4,65,0
4,66,0
4,67,0
4,69,0
4,70,0
4,71,0
4,72,0
4,74,0
4,75,0
4,77,0
4,78,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,90,0
4,91,0
4,92,0
4,93,0
4,94,0
4,95,0
4,99,0
4,100,0
4,101,0
4,102,0
5,42,0
5,43,0
5,44,0
5,45,0
5,46,0
5,47,0
5,12,0
5,48,0
5,50,0
5,51,0
5,52,0
5,53,0
5,54,0
5,55,0
5,56,0
5,57,0
5,58,0
5,61,0
5,62,0
5,63,0
5,64,0
5,65,0
5,66,0
5,67,0
5,69,0
5,70,0
5,71,0
5,72,0
5,74,0
5,75,0
5,77,0
5,78,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,0
5,85,0
5,86,0
5,90,0
5,91,0
5,92,0
5,93,0
5,94,0
5,95,0
5,99,0
5,100,0
5,101,0
5,102,0
5,15,0
5,16,0
5,17,0
