u,v,color
0,1,2,0,1
0,2,0
0,3,3
0,4,0
0,5,0
0,6,0
0,7,0
0,8,1,0,2
0,9,0
0,10,2,0,3,6,1
0,11,0
0,12,0
0,13,0
0,14,0,2,1
0,15,0
0,16,0
0,17,0
0,18,1,0,2
0,19,1,0,3,2
0,20,0
0,21,2,0,1
0,22,2,3,6,0,1
0,23,1,0,2
0,24,0
0,25,0
0,26,0,1,2
0,27,0
0,28,2
0,29,0,2,1
0,30,2,0,1
0,31,0
0,32,0
0,33,2
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,1,0,2
0,41,0,2,1
0,42,0
0,43,0
0,44,1,3,6,0,2
0,45,0
0,46,0
0,47,0
0,48,0,2,1
0,49,0
0,50,0
0,51,1,0,2
0,52,1,2,0
0,53,3
0,54,0
0,55,3
0,56,3
0,57,0
0,58,2,0,1
0,59,0
0,60,0
0,61,3
0,62,3
0,63,3
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,1,2,0
0,73,0
0,74,0
0,75,0,1,2
0,76,0
0,77,0
0,78,0,1,2
0,79,0,1,2
0,80,0
0,81,0
0,82,3
0,83,0
0,84,0,1,2
0,85,0
86,1,0
86,3,5
86,19,0
86,87,0
86,88,5
86,28,0
86,89,0
86,90,0
86,91,0
86,92,5,1
86,33,0
86,93,1,0,2
86,94,0
86,95,5
86,96,1
86,43,5,0
86,97,3,5,0
86,98,0
86,99,0
86,47,5
86,100,0
86,101,3,0
86,102,5
86,53,5
86,55,5
86,56,5
86,58,0,1,2
86,103,1,2,0
86,61,5
86,62,5
86,63,5
86,104,0
86,105,0
86,106,0
86,107,0
86,79,0,5
86,82,5
86,108,0
109,1,0
109,110,0
109,111,0
109,112,0
109,113,0
109,114,0
109,115,0
109,93,0
109,116,0
109,117,0
109,118,0
109,119,0
109,120,0
109,103,0
109,66,0
79,1,0
79,121,0,2,1
79,3,2
79,122,1,0,2
79,10,0,1,2
79,123,2
79,124,2
79,125,0
79,18,1,2,3,0
79,19,2,0,3,1
79,126,2
79,127,0
79,21,2,1,0
79,22,1,0,2
79,128,2
79,129,2
79,23,1,0,2
79,114,0
79,26,0,1,2
79,28,0,1,2
79,92,2
79,33,2,0,1
79,130,2
79,131,2
79,93,0
79,132,2
79,40,3,0,2,1
79,41,3,1,2,0
79,44,0,1,2
79,133,0
79,48,1,0,2
79,119,2
79,134,2
79,51,0,2,1
79,135,1
79,52,0,2,1
79,53,2
79,55,2
79,56,2
79,58,0,1,2
79,103,0
79,136,0
79,137,2
79,138,2
79,61,2
79,62,2
79,63,2
79,139,2
79,104,2
79,140,2,0,1
79,141,2,1,0
79,70,2
79,72,0,2,1
79,107,0
79,142,1
79,82,2
79,108,0
79,143,0
79,144,2
79,84,1,2,0
79,145,0
108,1,0
108,8,2,6,0
108,18,0
108,19,0,2
108,146,0
108,34,0
108,147,0
108,72,0
148,149,0
148,150,0
148,151,0
148,152,0
148,153,0
148,154,0
148,155,0
148,156,0
148,157,0
148,158,0
148,159,0
148,160,0
148,161,0
148,162,0
148,163,0
148,164,0
148,165,0
148,166,0
121,3,1,0,2
121,167,0
121,14,0,2
121,18,0,3
121,28,0
121,29,2,0
121,30,2,0
121,33,0
121,168,0
121,169,0
121,53,1,0,2
121,55,0,2,1
121,56,2,0,1
121,58,2,0
121,61,2,1,0
121,62,1,2,0
121,63,0,1,2
121,170,0
121,171,0
121,172,0
121,82,0,2,1
167,173,0,1,2
167,174,1,0,2
167,175,1,0,2
167,176,2,0,1
167,177,0,2,1
167,4,0
167,178,1,2,0
167,179,1,0,2
167,8,2,1,0
167,180,0,1,2
167,181,1,2,0
167,182,0,2,1
167,183,2,0,1
167,184,0,1,2
167,185,0,2,1
167,186,1,0,2
167,187,2,0,1
167,188,1,0,2
167,189,2,1,0
167,190,2,0,1
167,112,0,1,2
167,191,2,1,0
167,192,1,2,0
167,193,0,2,1
167,194,2,0,1
167,195,2,0,1
167,196,2,1,0
167,197,1,2,0
167,151,0,2,1
167,198,1,2,0
167,199,1,0,2
167,200,2,1,0
167,201,0,2
167,202,2,0
167,203,2,1,0
167,204,1,2,0
167,205,0,2,1
167,11,2,0,1
167,206,2,0,1
167,18,2,0,1
167,207,0
167,208,2,0
167,209,2,1,0
167,210,2,1,0
167,211,1,0,2
167,21,2,0,1
167,212,1,2,0
167,31,1,2,0
167,213,2,0,1
167,214,0
167,130,0
167,215,2,0,1
167,216,0
167,217,0
167,218,1,0,2
167,219,0,1,2
167,220,0
167,95,0
167,221,0
167,222,0,2,1
167,223,0
167,224,0,2,1
167,225,0,2,1
167,226,1,2,0
167,160,2,0,1
167,227,0
167,228,2,1,0
167,229,0,2
167,100,1,0,2
167,230,2,0,1
167,231,2,1,0
167,140,0
167,232,0
167,165,1,0,2
167,233,0,2,1
167,234,0
167,235,1,2,0
167,236,0
18,3,3,0,2
18,237,0
18,238,0
18,175,1,0,2
18,176,1,2,0
18,239,0
18,177,0,2,1,3
18,4,0
18,178,2,1,0
18,8,0,1,2
18,181,0,2,1
18,183,1,2,0
18,184,2,1,0
18,185,1,2,0,3
18,186,0,2,1
18,187,1,0,2
18,188,0,1,2
18,189,2,0,1
18,190,2,0,1
18,112,2,0,1
18,191,0,1,2
18,192,2,0,3,1
18,193,0,1,2
18,194,0,2,1
18,195,1,2,0
18,196,1,3,0,2
18,197,1,0,2
18,151,0,1,2
18,198,3,2,0,1
18,199,2,0,1
18,200,0,2,1
18,202,0,2
18,204,1,2,0
18,205,0,2,1,3
18,10,0,1,2
18,206,0
18,240,0
18,16,0
18,17,0
18,241,0
18,19,2,0
18,126,2
18,154,0
18,87,0
18,210,0,2,3,1
18,211,0,1,2,3
18,21,0,1,2
18,22,2,0,1
18,128,0,2
18,129,2
18,23,0,2,1
18,26,2,0,1
18,28,1,3,0,2
18,242,0
18,243,0
18,91,0
18,92,2
18,244,2
18,31,1,0,2
18,245,0
18,33,2,3,0,1
18,130,2
18,246,0
18,247,0
18,35,0
18,219,3,2,1,0
18,36,0
18,37,0
18,248,0
18,40,2,1,0
18,41,1,2,0
18,249,0,1
18,44,2,0,1
18,45,0
18,160,2,0,1
18,119,2
18,250,0
18,100,0
18,251,3,1,0
18,49,0
18,134,2
18,252,0
18,51,2,1,0
18,53,2,0,3
18,54,0
18,55,0,3,2
18,56,2,3,0
18,58,0,1,2
18,138,2
18,61,2,0,3
18,62,2,3,0
18,63,3,0,2
18,139,2
18,104,2
18,253,0
18,140,3,0
18,254,0
18,232,0
18,70,0,2
18,71,0
18,74,0
18,105,0
18,255,0
18,165,1,0,2
18,256,0
18,106,0
18,257,3,1
18,82,3,2,0
18,144,2
18,85,0
18,258,0
168,259,0
168,260,0
168,261,0
168,262,0
168,263,0
168,264,0
168,265,0
168,88,0
168,266,0
168,267,0
168,115,0
168,268,0
168,269,0
168,270,0
168,116,0
168,95,0
168,271,0
168,272,0
168,169,0
168,46,0
168,273,0
168,274,0
168,140,0
168,275,0
168,276,0
168,277,0
168,278,0
168,279,0
168,280,0
169,259,0
169,260,0
169,261,0
169,262,0
169,263,0
169,264,0
169,265,0
169,88,0
169,266,0
169,267,0
169,115,0
169,268,0
169,269,0
169,270,0
169,116,0
169,95,0
169,271,0
169,272,0
169,46,0
169,273,0
169,274,0
169,140,0
169,275,0
169,276,0
169,277,0
169,278,0
169,279,0
169,280,0
170,19,0
170,281,0
170,282,0
170,140,0
170,171,0
170,172,0
170,80,0
171,19,0
171,281,0
171,282,0
171,140,0
171,80,0
172,19,0
172,281,0
172,282,0
172,140,0
172,80,0
283,262,0
283,265,0
283,284,0
283,285,0
283,272,0
283,133,0
283,48,0
283,286,0
283,287,0
283,288,0
283,289,0
262,260,0
262,290,0
262,126,0
262,127,0
262,291,0
262,292,0
262,293,0
262,294,0
262,295,0
262,115,0
262,296,0
262,270,0
262,116,0
262,297,0
262,298,0
262,271,0
262,299,0
262,300,0
262,301,0
262,133,0
262,286,0
262,302,0
262,136,0
262,287,0
262,273,0
262,104,0
262,277,0
262,144,0
262,303,0
265,260,0
265,290,0
265,126,0
265,127,0
265,291,0
265,292,0
265,293,0
265,294,0
265,295,0
265,115,0
265,296,0
265,270,0
265,116,0
265,297,0
265,298,0
265,271,0
265,299,0
265,300,0
265,301,0
265,133,0
265,286,0
265,302,0
265,136,0
265,287,0
265,273,0
265,104,0
265,144,0
265,303,0
284,304,0
284,12,0
284,305,0
284,306,0
284,307,0
284,308,0
284,309,0
284,310,0
284,311,0
284,312,0
284,313,0
284,314,0
284,72,0
284,315,0
285,290,0
285,261,0
285,316,0
285,263,0
285,317,0
285,264,0
285,318,0
285,319,0
285,320,0
285,321,0
285,292,0
285,322,0
285,88,0
285,323,0
285,294,0
285,295,0
285,92,0
285,324,0
285,325,0
285,326,0
285,34,0
285,96,0
285,327,0
285,300,0
285,328,0
285,329,0
285,160,0
285,330,0
285,286,0
285,287,0
285,331,0
285,332,0
285,276,0
285,165,0
285,277,0
285,333,0
285,107,0
272,260,0
272,290,0
272,126,0
272,127,0
272,291,0
272,292,0
272,293,0
272,294,0
272,295,0
272,115,0
272,296,0
272,270,0
272,116,0
272,297,0
272,298,0
272,271,0
272,299,0
272,300,0
272,301,0
272,133,0
272,286,0
272,302,0
272,136,0
272,287,0
272,273,0
272,104,0
272,144,0
272,303,0
48,334,0
48,8,0,1,2
48,122,0,1,2
48,10,2,0,1
48,335,0
48,19,0,2,1
48,336,0
48,337,0
48,87,0,2,1
48,338,0
48,339,0
48,22,0,1,2
48,25,0
48,340,0
48,156,0
48,341,0
48,342,0
48,343,0
48,344,0
48,345,0
48,346,0
48,347,0
48,348,0
48,349,0
48,249,0
48,97,2,1,0
48,44,1,2,0
48,350,0
48,351,0
48,47,0,2,1
48,352,0
48,135,0
48,52,2,0,1
48,57,0
48,353,0
48,67,0
48,141,0,2,1
48,354,0
48,70,0
48,72,2,1,0
48,105,2,0,1
48,142,0
48,355,1,0,2
48,84,2,0,1
48,356,0,1,2
48,357,2,0,1
286,294,0
286,297,0
286,301,0
286,133,0
286,287,0
286,288,0
286,358,0
286,303,0
287,294,0
287,359,5
287,360,4
287,297,0
287,361,4
287,301,0
287,133,0
287,137,0
287,288,0
287,358,0
287,303,0
288,290,0
288,316,0
288,317,0
288,264,0
288,318,0
288,319,0
288,320,0
288,321,0
288,362,0
288,292,0
288,322,0
288,88,0
288,323,0
288,294,0
288,295,0
288,92,0
288,324,0
288,325,0
288,326,0
288,34,0
288,96,0
288,327,0
288,300,0
288,328,0
288,329,0
288,160,0
288,330,0
288,331,0
288,332,0
288,165,0
288,333,0
288,107,0
2,44,0
363,21,1
363,38,0
363,364,0
363,60,0
363,365,0
21,3,2
21,173,1,2,0
21,174,2,1,0
21,175,0,2,1
21,176,2,1,0
21,177,0,1,2
21,4,0
21,178,2
21,179,2,0,1
21,180,1,2,0
21,181,1,0,2
21,182,0,1,2
21,183,1,0,2
21,184,1,0,2
21,185,1,2,0
21,186,2
21,187,2,0,1
21,188,2
21,189,0,1,2
21,190,2
21,112,1,2,0
21,191,2
21,192,2
21,193,2
21,194,2,1,0
21,195,0,2
21,196,2
21,197,2
21,151,2
21,198,2,0,1
21,199,2
21,200,2,1,0
21,203,1,2,0
21,204,2
21,205,2,0,1
21,10,2,1,0
21,11,2,0,1
21,124,2
21,241,0
21,126,2
21,209,1,2,0
21,210,0,2,1
21,211,2,0,1
21,212,0
21,22,1,0,2
21,128,2
21,129,2
21,114,0
21,366,0
21,28,0,2
21,242,0
21,92,2
21,244,2
21,31,2,1,0
21,33,2,0
21,130,2
21,131,2
21,215,0,1,2
21,93,3,0
21,246,0
21,218,1,0,2
21,219,2
21,132,2
21,367,2
21,117,0
21,40,0,1,2
21,41,1,2,0
21,224,1,2,0
21,44,1,0,2
21,368,0
21,225,0,2,1
21,226,0,2,1
21,160,2,0
21,228,2,0,1
21,250,0
21,100,0,2,1
21,230,2,0,1
21,134,2
21,231,2,0,1
21,53,2
21,55,2
21,56,2
21,58,1,2,0
21,103,3,0
21,137,2
21,61,5,2
21,62,2
21,63,2
21,104,2
21,70,2
21,165,2,0
21,233,2,1,0
21,235,1,2,0
21,82,5,2
21,144,2
21,369,2
188,3,5
188,173,0
188,174,0
188,175,0,1,2
188,176,1,0,2
188,177,0,1,2
188,178,0,1,2
188,179,0
188,8,1,2,0
188,180,0
188,181,1,2,0
188,182,0
188,183,1,0,2
188,184,2,0,1
188,185,1,2,0
188,186,0,1,2
188,187,1,2,0
188,189,0,2,1
188,190,0,2,1
188,112,1,2,0
188,191,2,1,0
188,192,1,0,2
188,193,2,1,0
188,194,0,1,2
188,195,1,2,0
188,196,0,2,1
188,197,0,1,2
188,151,0,1,2
188,198,2,1,0
188,199,0,2,1
188,200,1,0,2
188,201,2,0
188,202,2,0
188,203,0
188,204,0,2,1
188,205,2,1,0
188,11,0
188,206,2,0
188,207,0
188,210,0,1,2
188,211,1,2,0
188,114,0
188,31,0,2,1
188,216,0
188,217,0
188,219,2,0,1
188,220,0
188,222,0
188,223,0
188,224,0
188,225,0
188,370,0,2
188,160,2,1,0
188,227,0
188,228,0
188,229,0,2
188,230,0
