u,v,color
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
1,6,2,0,1
1,8,0,1,2
1,5,0
1,2,2,1,0
1,7,1,0,2
1,4,1,0,2
1,9,0,2,1
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0,2,1
1,18,0
1,19,0
1,3,2,0,1
2,6,0,1,2
2,8,2,1,0
2,5,0
2,3,1,2,0
2,4,1,2,0
2,10,0
2,11,0
2,20,0
2,13,0
2,15,0
2,16,0
2,7,0,1,2
3,6,2,0,1
3,8,1,2,0
3,5,0
3,7,0,1,2
3,21,2,1,0
3,4,0,2,1
3,9,2,1,0
3,22,0
3,10,0
3,11,0
3,23,0
3,24,0
3,25,0
3,26,0
3,27,0
3,28,0
3,29,2,0,1
3,15,0
3,16,0
3,30,1,0,2
3,17,0,2,1
3,31,2,1
3,32,0
3,33,0
3,34,0
4,6,2,1,0
4,8,0,2,1
4,5,0
4,7,0,2,1
4,10,0
4,16,0
4,15,0
4,13,0
4,11,0
4,35,0
5,6,0
5,8,0
5,10,0
5,7,0
6,7,0,2,1
6,11,0
6,27,0
6,36,0
6,8,1,0,2
7,8,1,0,2
7,19,0
7,18,0
7,16,0
7,15,0
7,37,0
7,27,0
7,13,0
7,12,0
7,11,0
7,36,0
7,10,0
7,38,0
7,39,0
8,40,0
8,16,0
8,27,0
8,13,0
8,41,2,1,0
8,10,0
8,42,0
11,39,0
11,43,0
11,44,0
11,45,0
11,15,0
11,46,0
11,47,0
27,39,0
27,48,3,0
27,49,2
27,50,0
27,51,0
27,52,2
27,53,0
27,54,2
27,55,2
27,56,2
27,57,0
27,58,2
27,59,0
27,60,5,6
27,61,6,5
27,62,6,5
27,63,0
27,64,0
27,65,3,0
27,66,0
27,67,0
27,68,2
27,69,0
27,70,0
27,71,2
27,41,2
27,72,2
27,73,0
27,74,0
27,75,0
27,76,2
27,77,5,6
27,78,6,5
27,79,0
27,80,0
27,81,0
27,82,0,2
27,83,0
27,84,0
27,85,2
27,86,2
27,87,0
27,88,2
27,89,0
27,47,2
27,90,3,5
27,91,2
27,92,6,5
27,93,5,3
27,94,2
27,95,0
27,96,2
27,97,0
27,98,2
27,99,5,6,3
27,100,0,3
27,101,0
27,102,0
27,103,2
27,104,0
27,105,0
27,106,0
27,107,0
36,108,0
36,109,0
36,110,0
36,111,0
36,112,0
36,113,0
36,114,0
36,115,0
36,116,0
36,117,0
36,118,0
36,119,0
36,120,0
40,121,0,1,2
40,122,0
40,123,2,1,0
40,124,0
40,42,0
40,125,2,1,0
40,126,0
40,127,2,1,0
40,128,0
40,129,0
40,130,0
40,131,1,2,0
40,132,0
40,133,2,1,0
40,134,0
40,135,0
40,136,0
40,137,0,1,2
40,138,0
40,139,0,2,1
40,140,0
40,141,1,0,2
40,142,0
40,143,1,0,2
40,144,1,0,2
40,145,2,1,0
40,146,2,1,0
40,147,2,0,1
40,148,0,2,1
40,49,2,0,1
40,149,2,0,1
40,150,0,2,1
40,59,0
40,151,0,1,2
40,152,0
40,153,2,0,1
40,154,0,1,2
40,155,0
40,156,1,0,2
40,157,0
40,158,2,1,0
40,159,0,2,1
40,160,2,1,0
40,161,1,2
40,162,0,2,1
40,163,2,1,0
40,164,0
40,165,0
40,166,0,1,2
40,167,1,2,0
40,168,0
40,169,1,2
40,170,1,2,0
40,171,2,0
40,172,0
40,173,2,0,1
40,174,0,1,2
40,16,1,0,2
40,175,2,1,0
40,176,0
40,177,2,1,0
40,178,2,0,1
